# Solver information
# Time        	p_rgh_solver  	p_rgh_initial 	p_rgh_final   	p_rgh_iters   	p_rgh_converged
54.5          	GAMG	1.062770e-01	4.806790e-04	3	true
55            	GAMG	1.050000e-01	4.809270e-04	3	true
55.5          	GAMG	1.055910e-01	4.287790e-04	3	true
56            	GAMG	1.017490e-01	3.701300e-04	3	true
56.5          	GAMG	9.831340e-02	3.598770e-04	3	true
57            	GAMG	9.450570e-02	4.053760e-04	3	true
57.5          	GAMG	9.607500e-02	4.527070e-04	3	true
58            	GAMG	9.803910e-02	4.945780e-04	3	true
58.5          	GAMG	1.000400e-01	4.368430e-04	3	true
59            	GAMG	9.910600e-02	4.275940e-04	3	true
59.5          	GAMG	9.966040e-02	9.772020e-04	2	true
60            	GAMG	1.001770e-01	7.196370e-04	2	true
60.5          	GAMG	1.015410e-01	7.230450e-04	2	true
61            	GAMG	1.038510e-01	7.370130e-04	2	true
61.5          	GAMG	1.058640e-01	7.201270e-04	2	true
62            	GAMG	1.081130e-01	7.355990e-04	2	true
62.5          	GAMG	1.110370e-01	7.860780e-04	2	true
63            	GAMG	1.142020e-01	8.556220e-04	2	true
63.5          	GAMG	1.174080e-01	9.271180e-04	2	true
64            	GAMG	1.219190e-01	1.002640e-03	2	true
64.5          	GAMG	1.244900e-01	1.109330e-03	2	true
65            	GAMG	1.306280e-01	1.150650e-03	2	true
65.5          	GAMG	1.324730e-01	1.219380e-03	2	true
66            	GAMG	1.368380e-01	1.121480e-03	2	true
66.5          	GAMG	1.422690e-01	1.147160e-03	2	true
67            	GAMG	1.509760e-01	1.432270e-03	2	true
67.5          	GAMG	1.588560e-01	1.312090e-03	2	true
68            	GAMG	1.712240e-01	1.657780e-03	2	true
68.5          	GAMG	1.833820e-01	7.841600e-04	3	true
69            	GAMG	1.927850e-01	8.820000e-04	3	true
69.5          	GAMG	2.096150e-01	1.089440e-03	3	true
70            	GAMG	2.265600e-01	1.158440e-03	3	true
70.5          	GAMG	2.141330e-01	7.331960e-04	3	true
71            	GAMG	2.248060e-01	7.737440e-04	3	true
71.5          	GAMG	2.243570e-01	9.789090e-04	3	true
72            	GAMG	2.315120e-01	2.239010e-03	2	true
72.5          	GAMG	2.271490e-01	1.105910e-03	2	true
73            	GAMG	2.166490e-01	9.114400e-04	3	true
73.5          	GAMG	2.299130e-01	2.084340e-03	2	true
74            	GAMG	2.379390e-01	1.636160e-03	2	true
74.5          	GAMG	2.379920e-01	1.464570e-03	2	true
75            	GAMG	2.436670e-01	1.903250e-03	2	true
75.5          	GAMG	2.598630e-01	2.266560e-03	2	true
76            	GAMG	2.835990e-01	2.044940e-03	2	true
76.5          	GAMG	2.900940e-01	2.283790e-03	2	true
77            	GAMG	3.053710e-01	2.480590e-03	2	true
77.5          	GAMG	3.206230e-01	2.578010e-03	2	true
78            	GAMG	3.476900e-01	2.573290e-03	2	true
