# Solver information
# Time        	p_rgh_solver  	p_rgh_initial 	p_rgh_final   	p_rgh_iters   	p_rgh_converged
113           	GAMG	1.219270e-02	3.859270e-05	3	true
114           	GAMG	1.214860e-02	3.785740e-05	3	true
115           	GAMG	1.204960e-02	3.777350e-05	3	true
116           	GAMG	1.197270e-02	3.771290e-05	3	true
117           	GAMG	1.185300e-02	3.601470e-05	3	true
118           	GAMG	1.169490e-02	3.412950e-05	3	true
119           	GAMG	1.156460e-02	3.302390e-05	3	true
120           	GAMG	1.148750e-02	3.170240e-05	3	true
121           	GAMG	1.133230e-02	3.031820e-05	3	true
122           	GAMG	1.120860e-02	2.888830e-05	3	true
123           	GAMG	1.107310e-02	2.810380e-05	3	true
124           	GAMG	1.093040e-02	2.695810e-05	3	true
125           	GAMG	1.072910e-02	2.638330e-05	3	true
126           	GAMG	1.051140e-02	2.554770e-05	3	true
127           	GAMG	1.025410e-02	2.461000e-05	3	true
128           	GAMG	9.970260e-03	2.381180e-05	3	true
129           	GAMG	9.664870e-03	2.297960e-05	3	true
130           	GAMG	9.397980e-03	2.004940e-05	3	true
131           	GAMG	9.164600e-03	9.125310e-05	2	true
132           	GAMG	8.935500e-03	8.597980e-05	2	true
133           	GAMG	8.680720e-03	8.328430e-05	2	true
134           	GAMG	8.464820e-03	8.086240e-05	2	true
135           	GAMG	8.251690e-03	8.021720e-05	2	true
136           	GAMG	8.096130e-03	7.867950e-05	2	true
137           	GAMG	7.914990e-03	7.678730e-05	2	true
138           	GAMG	7.727420e-03	7.523560e-05	2	true
139           	GAMG	7.606950e-03	7.439370e-05	2	true
140           	GAMG	7.512160e-03	7.404190e-05	2	true
141           	GAMG	7.386950e-03	1.274490e-05	3	true
142           	GAMG	7.288570e-03	1.249200e-05	3	true
143           	GAMG	7.202730e-03	1.215750e-05	3	true
144           	GAMG	7.130370e-03	1.203830e-05	3	true
145           	GAMG	7.109700e-03	1.227410e-05	3	true
146           	GAMG	7.050680e-03	1.343080e-05	3	true
147           	GAMG	7.002140e-03	1.382280e-05	3	true
148           	GAMG	6.981570e-03	1.402440e-05	3	true
