# Solver information
# Time        	p_rgh_solver  	p_rgh_initial 	p_rgh_final   	p_rgh_iters   	p_rgh_converged
450.5         	GAMG	5.258940e-01	2.337640e-03	2	true
451           	GAMG	5.480530e-01	2.858500e-03	2	true
451.5         	GAMG	5.304260e-01	2.039440e-03	2	true
452           	GAMG	5.375330e-01	1.866810e-03	2	true
452.5         	GAMG	5.383170e-01	2.136040e-03	2	true
453           	GAMG	5.522250e-01	2.572890e-03	2	true
453.5         	GAMG	5.776250e-01	2.190650e-03	2	true
454           	GAMG	5.685660e-01	2.128250e-03	2	true
454.5         	GAMG	5.630750e-01	1.850180e-03	2	true
455           	GAMG	5.789320e-01	1.797720e-03	2	true
455.5         	GAMG	6.023460e-01	2.534500e-03	2	true
456           	GAMG	5.721610e-01	1.980130e-03	2	true
456.5         	GAMG	6.016970e-01	2.762140e-03	2	true
457           	GAMG	5.786580e-01	2.603920e-03	2	true
457.5         	GAMG	5.782240e-01	2.133240e-03	2	true
458           	GAMG	5.337640e-01	1.830390e-03	2	true
458.5         	GAMG	6.055980e-01	2.085490e-03	2	true
459           	GAMG	5.494070e-01	2.017730e-03	2	true
459.5         	GAMG	5.096800e-01	1.336420e-03	2	true
460           	GAMG	5.190540e-01	2.138350e-03	2	true
460.5         	GAMG	5.765200e-01	2.654770e-03	2	true
461           	GAMG	6.051990e-01	2.393280e-03	2	true
461.5         	GAMG	5.664060e-01	2.251980e-03	2	true
462           	GAMG	5.472120e-01	2.150570e-03	2	true
462.5         	GAMG	5.573170e-01	2.272300e-03	2	true
463           	GAMG	5.818060e-01	1.600450e-03	2	true
463.5         	GAMG	5.839230e-01	2.178610e-03	2	true
464           	GAMG	5.590090e-01	2.438790e-03	2	true
464.5         	GAMG	5.558780e-01	2.742520e-03	2	true
465           	GAMG	5.790410e-01	2.744260e-03	2	true
465.5         	GAMG	5.831460e-01	2.446050e-03	2	true
466           	GAMG	5.575020e-01	2.635330e-03	2	true
466.5         	GAMG	5.598700e-01	3.090300e-03	2	true
467           	GAMG	5.831180e-01	2.805440e-03	2	true
467.5         	GAMG	5.444770e-01	2.466630e-03	2	true
468           	GAMG	5.399600e-01	4.573380e-03	2	true
468.5         	GAMG	5.653350e-01	2.488070e-03	2	true
469           	GAMG	5.192740e-01	4.073990e-03	2	true
469.5         	GAMG	6.066590e-01	2.711730e-03	2	true
470           	GAMG	5.460950e-01	2.953790e-03	2	true
